,country_name,sex,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
95,Dominican Republic,Male,3.806,3.858,3.393,3.03,2.212,2.311,2.713,2.873,1.948,2.62,2.445
96,Ecuador,Female,2.738,3.193,4.283,3.723,3.308,3.309,6.005,4.491,3.253,3.385,3.33
97,Ecuador,Male,2.093,2.119,2.794,2.302,2.183,2.511,4.603,2.968,2.557,2.363,2.386
98,Egypt,Female,17.684,19.663,18.199,17.713,15.028,15.978,13.343,11.632,9.683,9.983,10.282
99,Egypt,Male,5.778,4.975,4.696,4.44,4.932,3.455,4.738,4.304,3.807,3.568,3.483
100,El Salvador,Female,1.854,2.108,2.55,2.274,2.096,2.676,3.629,3.008,1.858,1.78,1.789
101,El Salvador,Male,3.232,3.162,3.371,3.389,2.978,2.809,3.415,2.995,2.042,1.908,1.87
102,Equatorial Guinea,Female,7.568,7.664,7.741,7.813,7.793,7.911,8.367,8.741,8.253,8.147,8.077
103,Equatorial Guinea,Male,6.006,6.193,6.335,6.472,6.473,6.557,7.174,7.253,6.719,6.636,6.577
104,Eritrea,Female,4.548,4.601,4.615,4.607,4.523,4.519,4.623,4.91,4.592,4.508,4.467
105,Eritrea,Male,3.23,3.356,3.433,3.476,3.418,3.406,3.72,3.761,3.401,3.328,3.279
106,Estonia,Female,6.539,5.643,5.688,4.904,4.785,4.269,5.674,4.804,3.989,6.164,7.031
107,Estonia,Male,6.78,5.484,6.613,5.433,4.754,3.505,6.07,5.867,4.874,5.529,5.707
108,Eswatini,Female,19.909,19.626,19.341,19.444,19.586,19.641,21.247,21.352,19.849,19.459,19.257
109,Eswatini,Male,17.062,16.95,16.843,16.934,17.061,17.111,19.1,18.925,17.25,16.812,16.585
110,Ethiopia,Female,2.264,2.316,2.415,2.508,2.655,2.762,3.716,3.837,3.424,3.356,3.352
111,Ethiopia,Male,1.224,1.236,1.276,1.313,1.383,1.428,2.225,2.208,1.765,1.724,1.71
112,Fiji,Female,2.204,2.212,2.262,2.315,2.359,2.392,2.47,2.699,2.53,2.359,2.312
113,Fiji,Male,2.4,2.231,2.107,2.13,2.153,2.187,2.452,2.533,2.333,2.106,2.047
